shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10204,35.327665,-80.945106,10001
10204,35.327670,-80.945081,10002
10204,35.327731,-80.944854,10003
10204,35.327828,-80.944525,10004
10204,35.327871,-80.944373,10005
10204,35.327895,-80.944226,10006
10204,35.327909,-80.944051,10007
10204,35.327904,-80.943912,10008
10204,35.327877,-80.943763,10009
10204,35.327835,-80.943632,10010
10204,35.327774,-80.943519,10011
10204,35.327695,-80.943396,10012
10204,35.327601,-80.943263,10013
10204,35.327520,-80.943346,10014
10204,35.327347,-80.943525,10015
10204,35.327164,-80.943712,10016
10204,35.327007,-80.943872,10017
10204,35.326862,-80.944021,10018
10204,35.326795,-80.944086,10019
10204,35.326751,-80.944129,10020
10204,35.326575,-80.944304,10021
10204,35.326454,-80.944428,10022
10204,35.326383,-80.944498,10023
10204,35.326289,-80.944590,10024
10204,35.326134,-80.944739,10025
10204,35.325920,-80.944944,10026
10204,35.325707,-80.945155,10027
10204,35.325655,-80.945206,10028
10204,35.325563,-80.945296,10029
10204,35.325437,-80.945416,10030
10204,35.325383,-80.945467,10031
10204,35.325218,-80.945623,10032
10204,35.324957,-80.945862,10033
10204,35.324888,-80.945931,10034
10204,35.324888,-80.945931,20001
10204,35.324764,-80.946054,20002
10204,35.324604,-80.946245,20003
10204,35.324444,-80.946477,20004
10204,35.324255,-80.946784,20005
10204,35.324168,-80.946969,20006
10204,35.324048,-80.947252,20007
10204,35.323882,-80.947700,20008
10204,35.323779,-80.948002,20009
10204,35.323679,-80.948283,20010
10204,35.323655,-80.948352,20011
10204,35.323411,-80.949044,20012
10204,35.323330,-80.949292,20013
10204,35.323309,-80.949354,20014
10204,35.323298,-80.949384,20015
10204,35.323266,-80.949461,20016
10204,35.323241,-80.949515,20017
10204,35.323235,-80.949528,20018
10204,35.323182,-80.949632,20019
10204,35.323120,-80.949740,20020
10204,35.323065,-80.949834,20021
10204,35.323004,-80.949930,20022
10204,35.322949,-80.950004,20023
10204,35.322893,-80.950079,20024
10204,35.322842,-80.950145,20025
10204,35.322782,-80.950219,20026
10204,35.322712,-80.950305,20027
10204,35.322634,-80.950400,20028
10204,35.322495,-80.950560,20029
10204,35.322272,-80.950821,20030
10204,35.322088,-80.951037,20031
10204,35.321891,-80.951264,20032
10204,35.321767,-80.951411,20033
10204,35.321767,-80.951411,30001
10204,35.321578,-80.951634,30002
10204,35.321377,-80.951864,30003
10204,35.321037,-80.952267,30004
10204,35.320809,-80.952513,30005
10204,35.320474,-80.952245,30006
10204,35.320245,-80.952018,30007
10204,35.320089,-80.951849,30008
10204,35.319956,-80.951702,30009
10204,35.319895,-80.951626,30010
10204,35.319895,-80.951626,40001
10204,35.319879,-80.951607,40002
10204,35.319783,-80.951487,40003
10204,35.319640,-80.951310,40004
10204,35.319491,-80.951121,40005
10204,35.319325,-80.950907,40006
10204,35.319196,-80.950734,40007
10204,35.319065,-80.950563,40008
10204,35.318963,-80.950424,40009
10204,35.318897,-80.950331,40010
10204,35.318844,-80.950250,40011
10204,35.318799,-80.950180,40012
10204,35.318727,-80.950063,40013
10204,35.318692,-80.950004,40014
10204,35.318688,-80.950001,40015
10204,35.318660,-80.949948,40016
10204,35.318639,-80.949910,40017
10204,35.318615,-80.949866,40018
10204,35.318579,-80.949792,40019
10204,35.318541,-80.949702,40020
10204,35.318498,-80.949605,40021
10204,35.318461,-80.949524,40022
10204,35.318414,-80.949411,40023
10204,35.318390,-80.949353,40024
10204,35.318369,-80.949296,40025
10204,35.318340,-80.949217,40026
10204,35.318311,-80.949135,40027
10204,35.318283,-80.949049,40028
10204,35.318256,-80.948962,40029
10204,35.318231,-80.948879,40030
10204,35.318181,-80.948693,40031
10204,35.318155,-80.948589,40032
10204,35.318137,-80.948517,40033
10204,35.318106,-80.948396,40034
10204,35.318037,-80.948120,40035
10204,35.318012,-80.948015,40036
10204,35.317979,-80.947873,40037
10204,35.317959,-80.947792,40038
10204,35.317933,-80.947687,40039
10204,35.317884,-80.947504,40040
10204,35.317840,-80.947355,40041
10204,35.317800,-80.947221,40042
10204,35.317719,-80.946944,40043
10204,35.317574,-80.946558,40044
10204,35.317420,-80.946215,40045
10204,35.317243,-80.945870,40046
10204,35.317074,-80.945601,40047
10204,35.317070,-80.945594,40048
10204,35.316941,-80.945391,40049
10204,35.316936,-80.945382,40050
10204,35.316852,-80.945249,40051
10204,35.316490,-80.944780,40052
10204,35.316268,-80.944544,40053
10204,35.316069,-80.944352,40054
10204,35.315847,-80.944157,40055
10204,35.315041,-80.943512,40056
10204,35.314954,-80.943445,40057
10204,35.312049,-80.941198,40058
10204,35.311497,-80.940770,40059
10204,35.310876,-80.940289,40060
10204,35.310517,-80.940010,40061
10204,35.310228,-80.939786,40062
10204,35.310080,-80.939677,40063
10204,35.309972,-80.939605,40064
10204,35.309919,-80.939565,40065
10204,35.309918,-80.939526,40066
10204,35.309913,-80.939499,40067
10204,35.309903,-80.939473,40068
10204,35.309889,-80.939446,40069
10204,35.309846,-80.939369,40070
10204,35.309746,-80.939196,40071
10204,35.309660,-80.939030,40072
10204,35.309600,-80.938903,40073
10204,35.309563,-80.938822,40074
10204,35.309526,-80.938737,40075
10204,35.309494,-80.938654,40076
10204,35.309454,-80.938536,40077
10204,35.309417,-80.938413,40078
10204,35.309390,-80.938308,40079
10204,35.309361,-80.938204,40080
10204,35.309327,-80.938067,40081
10204,35.309291,-80.937929,40082
10204,35.309253,-80.937775,40083
10204,35.309219,-80.937610,40084
10204,35.309191,-80.937475,40085
10204,35.309159,-80.937321,40086
10204,35.309122,-80.937132,40087
10204,35.309119,-80.937119,40088
10204,35.309080,-80.936929,40089
10204,35.309045,-80.936749,40090
10204,35.309022,-80.936631,40091
10204,35.308972,-80.936500,40092
10204,35.308945,-80.936425,40093
10204,35.308916,-80.936353,40094
10204,35.308892,-80.936297,40095
10204,35.308860,-80.936223,40096
10204,35.308825,-80.936146,40097
10204,35.308791,-80.936071,40098
10204,35.308754,-80.935995,40099
10204,35.308709,-80.935908,40100
10204,35.308660,-80.935816,40101
10204,35.308613,-80.935727,40102
10204,35.308557,-80.935619,40103
10204,35.308504,-80.935527,40104
10204,35.308445,-80.935431,40105
10204,35.308397,-80.935360,40106
10204,35.308354,-80.935301,40107
10204,35.308303,-80.935239,40108
10204,35.308255,-80.935184,40109
10204,35.308213,-80.935139,40110
10204,35.308182,-80.935109,40111
10204,35.308137,-80.935070,40112
10204,35.308094,-80.935037,40113
10204,35.308032,-80.934992,40114
10204,35.307974,-80.934952,40115
10204,35.307893,-80.934902,40116
10204,35.307853,-80.934878,40117
10204,35.307779,-80.934831,40118
10204,35.307649,-80.934747,40119
10204,35.307581,-80.934703,40120
10204,35.307475,-80.934636,40121
10204,35.307361,-80.934567,40122
10204,35.307287,-80.934521,40123
10204,35.307249,-80.934498,40124
10204,35.307212,-80.934478,40125
10204,35.307155,-80.934454,40126
10204,35.307122,-80.934442,40127
10204,35.307109,-80.934438,40128
10204,35.307053,-80.934421,40129
10204,35.306982,-80.934401,40130
10204,35.306912,-80.934385,40131
10204,35.306810,-80.934360,40132
10204,35.306710,-80.934334,40133
10204,35.306594,-80.934308,40134
10204,35.306507,-80.934290,40135
10204,35.306412,-80.934274,40136
10204,35.306309,-80.934266,40137
10204,35.306262,-80.934263,40138
10204,35.306215,-80.934265,40139
10204,35.306170,-80.934269,40140
10204,35.306132,-80.934276,40141
10204,35.306083,-80.934286,40142
10204,35.306014,-80.934309,40143
10204,35.305967,-80.934329,40144
10204,35.305895,-80.934361,40145
10204,35.305848,-80.934385,40146
10204,35.305775,-80.934426,40147
10204,35.305712,-80.934467,40148
10204,35.305633,-80.934523,40149
10204,35.305575,-80.934566,40150
10204,35.305482,-80.934643,40151
10204,35.305377,-80.934729,40152
10204,35.305341,-80.934763,40153
10204,35.305290,-80.934817,40154
10204,35.305141,-80.934978,40155
10204,35.305044,-80.935074,40156
10204,35.304935,-80.935182,40157
10204,35.304799,-80.935329,40158
10204,35.304750,-80.935380,40159
10204,35.304691,-80.935438,40160
10204,35.304625,-80.935501,40161
10204,35.304566,-80.935555,40162
10204,35.304533,-80.935584,40163
10204,35.304476,-80.935632,40164
10204,35.304425,-80.935671,40165
10204,35.304363,-80.935717,40166
